stop_id,x,y
1037,295777.21231197193,5629273.1490626745
1038,295805.14143070974,5629294.304140838
1039,295833.7658120737,5629314.261055655
1040,295749.36784109956,5629355.535318377
1041,295796.6838708898,5629349.570709478
1042,295807.2767273829,5629270.851455412
1043,295825.260008749,5629249.277837592
1044,295841.75051807065,5629228.565438824
1045,295857.51039899245,5629208.684376435
1046,295876.7330026288,5629186.259757041
1047,295861.00841567304,5629161.592667158
1048,295831.8342099646,5629137.854034942
1049,295801.1039593088,5629113.373898372
1050,295771.70656881155,5629090.446961085
1051,295836.33151997917,5629348.984382086
1052,294536.517652559,5627018.030912553
1053,294567.2254334439,5627010.419060231
1054,294603.4389241884,5627002.008496471
1055,294629.6118999743,5626982.354393172
1056,294636.1201105593,5627025.745520743
1057,294645.04332340544,5627083.590690074
1058,294649.2232422859,5627133.47518399
1059,294650.0426616196,5627173.016657285
1060,294648.650779539,5627212.645245677
1061,294644.53946064354,5627258.200643766
1062,294629.65106960404,5627292.541306113
1063,294750.67812923656,5626925.7913984135
1064,294758.9366923985,5626966.785834564
1065,294773.2778072475,5627002.885090225
1066,294790.0843374755,5627035.977493852
1067,294805.6706227659,5627066.208143031
1068,294822.3395567455,5627095.814250253
1069,294837.7750413482,5627169.116363414
1070,294825.16503877146,5627205.112587892
1071,294804.944242783,5627238.558603437
1072,294785.861653798,5627269.347899409
1073,294873.47763915086,5627131.722673651
1074,294905.67165055213,5627132.0414568335
1075,294956.3795212322,5627130.046644036
1076,294935.74443252076,5627091.220138232
1077,294919.5030961131,5627049.049784925
1078,294904.2033878978,5627005.256893152
1079,294890.03218109615,5626964.590690409
1080,294868.13899490517,5626932.156006664
1081,296280.5201993757,5628558.136564557
1082,296229.4413830937,5628538.768093544
1083,296187.0082014238,5628522.7246233625
1084,296120.5689278913,5628496.63259598
1085,296058.08940889535,5628472.828198284
1086,296006.5890541654,5628472.4023647485
1087,295951.56238987495,5628470.8942204965
1088,295897.2699116537,5628448.60244012
1089,295815.08114513266,5628415.805618657
1090,295660.35069627326,5628092.960634718
1091,295726.36701904365,5628083.946099585
1092,295787.2889443303,5628093.493032927
1093,295848.8278077332,5628103.934541698
1094,295909.20379290695,5628114.422302016
1095,295968.85464394017,5628121.266945402
1096,296039.2196859943,5628134.119228202
1097,296153.50374932436,5628153.516649725
1098,296204.4701912133,5628161.621699315
1099,296261.9940448574,5628203.438490033
1100,296301.3102343895,5628256.066055838
1101,294312.48555539467,5627639.415378355
1102,294320.7955461939,5627648.935949172
1103,294339.7485570634,5627669.34903223
1104,294353.95348877413,5627658.331665209
1105,294373.22079504596,5627621.588680547
1106,294391.436818321,5627591.011988345
1107,294405.5720181915,5627563.658707917
1108,294415.03939125605,5627545.166286305
1109,294430.305271418,5627521.851644568
1110,294446.1340162736,5627512.805883141
1111,294985.66844729485,5628365.846975913
1112,295002.04452339537,5628441.241714747
1113,294983.4916697623,5628506.3123908
1114,294940.1972880948,5628616.900452382
1115,294887.8950149786,5628665.3025338305
1116,294865.09601762565,5628636.954267965
1117,294843.0172462609,5628576.182329271
1118,294814.36111213453,5628544.015444985
1119,298159.55603248725,5625889.583445012
1120,298259.2573486669,5625881.370349601
1121,298376.5405349274,5625913.4173488
1122,298443.83351953636,5625967.432294108
1123,298484.77553517895,5626025.950349759
1124,298520.818197601,5626086.40001286
1125,298552.34538770077,5626144.411264138
1126,298587.5518613506,5626211.861756446
1127,298625.78482947266,5626286.163701275
1128,298679.18649223616,5626395.5919160675
1129,298656.9747857714,5626535.812597235
1130,298618.07833863725,5626573.026625582
1131,292553.24684525316,5627939.864876598
1132,292524.2729426999,5627926.550391341
1133,292487.5962571297,5627904.138629573
1134,292445.3138686393,5627866.387590734
1135,292415.8970757956,5627831.760916869
1136,295739.60105084715,5628802.244711601
1137,295747.14941420045,5628891.108153028
1138,295753.21412092075,5628998.677486809
1139,295580.90370290866,5629070.702943378
1140,295581.88690206537,5628973.346382905
1141,295555.33773610275,5628880.5666385405
1142,295513.97056517686,5628824.498590008
1143,295457.4472410346,5628274.601574091
1144,295453.0061515154,5628340.746292672
1145,295451.1081982369,5628391.994097924
1146,295448.25674872927,5628448.828255963
1147,295447.04303856357,5628497.58303405
1148,295445.09702716913,5628547.5996599225
1149,295442.34257838345,5628606.896225544
1150,295441.13802782376,5628661.523017445
1151,295438.7728806412,5628715.021631487
1152,292774.2781356567,5627927.941428285
1153,292832.31347533804,5627923.660361333
1154,292881.32811266487,5627928.620252466
1155,292926.4382916617,5627945.57814445
1156,292976.0019432497,5627980.123097312
1157,293028.5339858278,5628026.392984652
1158,293081.92360276415,5628062.760633879
1159,293133.7889639122,5628092.281232191
1160,293181.86549732275,5628120.96581007
1161,293224.1230542986,5628160.7371940045
1162,293262.98332655075,5628225.315255028
1163,293294.69594568806,5628283.269030935
1164,293041.01606129133,5628324.917833321
1165,293068.85828629707,5628301.114174793
1166,293113.80603358196,5628282.552722114
1167,293156.5666849228,5628256.183569209
1168,293205.57616462256,5628229.566813472
1169,293288.7565908602,5628180.870822204
1170,293328.82413344027,5628149.675710602
1171,293372.40686463134,5628112.420385139
1172,293362.3688547625,5628032.882557853
1173,293369.24304218707,5628079.979377422
1174,293413.56935409433,5628140.394286971
1175,293462.89343772223,5628200.611426628
1176,293503.27349939535,5628256.249079496
1177,293542.6765684121,5628303.043957594
