demand_id,x,y,population,central
0,291516.7174,5629097.702800001,4.437362,0
1,291666.7174,5629097.702800001,14.998369,0
2,295016.7174,5631947.702800001,0.377558,0
3,291616.7174,5629097.702800001,25.932691,0
4,295116.7174,5631947.702800001,0.903593,0
5,295066.7174,5631947.702800001,1.329936,0
6,291866.7174,5629097.702800001,63.081811,0
7,295216.7174,5631947.702800001,12.703328,0
8,291816.7174,5629097.702800001,24.808502,0
9,295166.7174,5631947.702800001,1.527199,0
10,295316.7174,5631947.702800001,9.687109,0
11,294716.7174,5625247.702800001,1.89203,0
12,295266.7174,5631947.702800001,17.066451,0
13,291266.7174,5629097.702800001,5.682454,0
14,294616.7174,5631947.702800001,9.769833,0
15,294566.7174,5631947.702800001,1.202669,0
16,294666.7174,5631947.702800001,5.145813,0
17,291466.7174,5629097.702800001,1.726583,0
18,294316.7174,5625247.702800001,5.451253,0
19,294216.7174,5631947.702800001,0.835717,0
20,294416.7174,5625247.702800001,6.074859,0
21,294516.7174,5625247.702800001,7.493882,0
22,294266.7174,5631947.702800001,2.040508,0
23,294466.7174,5625247.702800001,4.093742,0
24,294416.7174,5631947.702800001,0.70633,0
25,294616.7174,5625247.702800001,3.627098,0
26,294566.7174,5625247.702800001,0.598153,0
27,295266.7174,5629147.702800001,12.219714,1
28,295216.7174,5629147.702800001,68.817292,1
29,295366.7174,5629147.702800001,73.946136,1
30,295316.7174,5629147.702800001,88.622096,1
31,295466.7174,5629147.702800001,68.562759,1
32,295416.7174,5629147.702800001,46.764112,1
33,295516.7174,5629147.702800001,30.866392,1
34,294866.7174,5629147.702800001,36.964583,0
35,294816.7174,5629147.702800001,63.247257,0
36,294966.7174,5629147.702800001,62.01065,0
37,295216.7174,5631997.702800001,17.861867,0
38,294916.7174,5629147.702800001,11.224914,0
39,295166.7174,5631997.702800001,6.588168,0
40,295066.7174,5629147.702800001,52.756247,0
41,295316.7174,5631997.702800001,6.959362,0
42,295016.7174,5629147.702800001,59.013522,0
43,295266.7174,5631997.702800001,10.785844,0
44,295166.7174,5629147.702800001,13.910239,0
45,295416.7174,5631997.702800001,1.382964,0
46,295116.7174,5629147.702800001,61.404013,0
47,295516.7174,5629097.702800001,58.394158,1
48,295166.7174,5629097.702800001,35.927361,0
49,295116.7174,5629097.702800001,48.749471,0
50,295266.7174,5629097.702800001,23.875214,1
51,295216.7174,5629097.702800001,75.727868,1
52,295366.7174,5629097.702800001,52.959874,1
53,295316.7174,5629097.702800001,79.446174,1
54,295466.7174,5629097.702800001,48.719775,1
55,294616.7174,5631997.702800001,3.209239,0
56,295416.7174,5629097.702800001,35.223153,1
57,294566.7174,5631997.702800001,0.502703,0
58,294766.7174,5629097.702800001,31.41576,0
59,294716.7174,5629097.702800001,61.467646,0
60,294666.7174,5631997.702800001,1.518715,0
61,294866.7174,5629097.702800001,24.676994,0
62,294816.7174,5629097.702800001,59.783485,0
63,294966.7174,5629097.702800001,47.273178,0
64,294916.7174,5629097.702800001,43.045806,0
65,295066.7174,5629097.702800001,49.555492,0
66,295016.7174,5629097.702800001,98.951902,0
67,294366.7174,5629097.702800001,83.06903,0
68,294316.7174,5629097.702800001,107.379072,0
69,294466.7174,5629097.702800001,65.758652,0
70,294416.7174,5629097.702800001,99.876705,0
71,294566.7174,5629097.702800001,48.700685,0
72,294516.7174,5629097.702800001,67.559474,0
73,294666.7174,5629097.702800001,54.703426,0
74,294616.7174,5629097.702800001,59.535315,0
75,293966.7174,5629097.702800001,51.655391,0
76,293916.7174,5631997.702800001,0.551489,0
77,293916.7174,5629097.702800001,46.250803,0
78,294066.7174,5629097.702800001,41.16226,0
79,293216.7174,5631997.702800001,2.17838,0
80,294016.7174,5629097.702800001,26.185103,0
81,293166.7174,5631997.702800001,3.987687,0
82,294166.7174,5629097.702800001,48.274342,0
83,293316.7174,5631997.702800001,6.05789,0
84,294116.7174,5629097.702800001,71.54504,0
85,293266.7174,5631997.702800001,8.891693,0
86,294266.7174,5629097.702800001,35.18073,0
87,294216.7174,5629097.702800001,48.267979,0
88,293366.7174,5631997.702800001,1.126309,0
89,293566.7174,5629097.702800001,13.827516,0
90,293516.7174,5629097.702800001,7.915982,0
91,293666.7174,5629097.702800001,15.276234,0
92,292816.7174,5631997.702800001,6.997542,0
93,293616.7174,5629097.702800001,38.941458,0
94,292766.7174,5631997.702800001,22.907987,0
95,293766.7174,5629097.702800001,5.018546,0
96,292916.7174,5631997.702800001,8.874724,0
97,292866.7174,5631997.702800001,2.992886,0
98,293866.7174,5629097.702800001,30.997901,0
99,293016.7174,5631997.702800001,0.708451,0
100,293166.7174,5629097.702800001,6.376057,0
101,293116.7174,5631997.702800001,5.309138,0
102,293116.7174,5629097.702800001,23.968543,0
103,293066.7174,5631997.702800001,2.454124,0
104,293266.7174,5629097.702800001,1.73931,0
105,293216.7174,5629097.702800001,0.727541,0
106,293366.7174,5629097.702800001,7.073902,0
107,293466.7174,5629097.702800001,6.004862,0
108,293416.7174,5629097.702800001,5.86699,0
109,292766.7174,5629097.702800001,6.032437,0
110,292716.7174,5629097.702800001,1.660829,0
111,292866.7174,5629097.702800001,4.836131,0
112,289816.7174,5631947.702800001,1.083887,0
113,292816.7174,5629097.702800001,7.252075,0
114,289766.7174,5631947.702800001,4.282521,0
115,292966.7174,5629097.702800001,4.439483,0
116,289916.7174,5631947.702800001,1.824155,0
117,292916.7174,5629097.702800001,4.464936,0
118,289866.7174,5631947.702800001,7.292376,0
119,293066.7174,5629097.702800001,9.250161,0
120,293016.7174,5629097.702800001,5.413073,0
121,290966.7174,5628897.702800001,9.627718,0
122,290916.7174,5628897.702800001,2.880467,0
123,291066.7174,5628897.702800001,3.552859,0
124,291016.7174,5628897.702800001,12.232442,0
125,291166.7174,5628897.702800001,1.268424,0
126,291116.7174,5628897.702800001,4.055562,0
127,291266.7174,5628897.702800001,13.447837,0
128,291216.7174,5628897.702800001,8.906541,0
129,295266.7174,5628947.702800001,64.549619,1
130,295216.7174,5628947.702800001,4.846736,1
131,295366.7174,5628947.702800001,54.315263,1
132,295316.7174,5628947.702800001,56.563641,1
133,295466.7174,5628947.702800001,50.613926,1
134,295416.7174,5628947.702800001,80.723083,1
135,295516.7174,5628947.702800001,56.665453,1
136,294866.7174,5628947.702800001,20.048732,1
137,294816.7174,5628947.702800001,47.313479,1
138,291916.7174,5624997.702800001,26.908401,0
139,294966.7174,5628947.702800001,40.332907,1
