stop_id,x,y
0,294792.6411912772,5629084.845807228
1,294757.6086263686,5629107.715144029
2,294692.4699553009,5628810.879373203
3,294651.96787985566,5628734.423811889
4,294623.986795438,5628715.930255572
5,294656.53694033343,5628773.325277657
6,294530.4120902102,5629237.924368361
7,294556.8645468479,5629244.563793555
8,294415.09594848845,5628183.149506684
9,294535.9252172479,5628559.624198676
10,294384.02206600807,5628548.02411028
11,294703.9643696103,5628539.973444984
12,294427.91046359204,5628490.0638021575
13,294129.76385007065,5628579.887327424
14,294112.48194025765,5628598.162561864
15,293961.5763784314,5628608.247492063
16,293746.62292452704,5629443.7095986735
17,293822.4339130346,5629481.015168256
18,293800.52107460523,5628929.1673164135
19,293795.3002801181,5628932.825636731
20,293998.6624838458,5629126.536643865
21,293975.8074903065,5629123.432054872
22,294199.64272103494,5629296.075719512
23,293901.1419006882,5628660.074594854
24,293830.1806357943,5628907.951479036
25,293844.6819645094,5628865.846106189
26,293597.0322223537,5628860.953853873
27,293577.00848526653,5628866.980385488
28,293599.35229770164,5628680.705870065
29,293684.5433901476,5628202.112529382
30,293711.50891481363,5628210.843312004
31,293712.70637903374,5628232.174077224
32,293703.1347552276,5628263.284119144
33,293783.6446187149,5628399.278127246
34,293772.7221411075,5628398.040230511
35,293909.649714326,5628600.280131501
36,293593.5864184967,5628601.099996619
37,293668.8275806919,5628406.161555426
38,293641.999205973,5628408.003372705
39,293553.9271569438,5628902.745925292
40,293555.015295512,5628915.952862949
41,292729.01700370904,5628505.034930911
42,293023.99317378027,5628596.97228075
43,292924.01167996746,5628921.954972876
44,292863.01006106165,5628913.022661439
45,293210.0030220895,5628990.98704066
46,293259.00304315495,5629015.987918549
47,292644.9806545874,5629153.964151173
48,292646.9698808468,5629117.029336746
49,293325.5570191165,5628390.704415187
50,293371.47695677314,5628389.551363288
51,292890.99165118305,5628362.97505433
52,292690.02416383976,5628391.008899983
53,292828.97646451433,5628334.040739271
54,292449.99955360196,5628245.012847148
55,292414.0090527321,5628265.041300926
56,293549.9745227876,5627591.037374444
57,293514.0246759929,5627581.995060475
58,293424.9726503197,5627769.0201767385
59,293400.9743789035,5627755.051205482
60,293557.00166541187,5627977.013964718
61,293563.0067762766,5628010.958934783
62,292627.01067715464,5626616.990985752
63,292618.01372000406,5626642.958377387
64,292641.03078791755,5626172.052605128
65,292631.9982634577,5626166.955863035
66,292337.0054749537,5627697.013163571
67,292356.0294488338,5627742.018590198
68,292119.982690987,5627656.004054988
69,292162.0288874941,5627662.01013803
70,292672.997530247,5627939.955296782
71,292675.9903975711,5627945.960265184
72,292385.004959721,5628167.989188582
73,292392.9847754453,5628168.005313454
74,292155.9747568568,5627921.021339944
75,292181.97586132557,5627932.009890431
76,290901.99565705925,5628309.014482644
77,290852.99091194564,5628294.946906568
78,292350.9979256079,5628150.971983094
79,292812.96485927445,5627010.998863477
80,292802.97371427144,5627011.952687503
81,293585.64101932937,5629499.968876478
82,293581.8796200566,5629627.719438008
83,292357.0338452959,5629654.023147895
84,292569.97943528416,5629460.035116535
85,292671.0086524734,5629462.025658363
86,292660.0111343434,5629449.992600059
87,293341.914950993,5629507.851256112
88,293341.6556926791,5629520.888959001
89,293056.99451748526,5629664.0239945585
90,293061.9703107509,5629687.988359745
91,292621.99725565873,5629418.992690467
92,292429.96993818204,5629603.014270653
93,292920.0264598038,5629263.945413982
94,293014.97906301246,5629621.043750711
95,293746.7343868173,5629926.051358393
96,293630.2160597862,5629550.646196142
97,293606.9793285086,5629618.039889849
98,293328.968759321,5629910.990254825
99,293273.992451194,5629969.958374487
100,292374.97377334035,5630119.962824412
101,292399.97124735336,5630106.050058538
102,292611.0325700982,5629944.984750491
103,292590.0047371738,5629969.984332104
104,293065.02338757855,5629691.98685891
105,292533.986022249,5628908.967193025
106,292543.0203552164,5628900.033765386
107,293143.9980827563,5630389.994598007
108,293758.9484680096,5629938.59503352
109,293015.01740496705,5630232.999832988
110,292999.97542731685,5630262.993082319
111,293537.9677000419,5630160.019979708
112,293475.0345320815,5630255.043372211
113,292911.01177266455,5630689.979954321
114,292936.0271786203,5630688.98510641
115,292878.03234868264,5630433.97032755
116,292846.9858489371,5630514.038514037
117,292725.0250050356,5630647.051661142
118,292735.99426135095,5630661.9808448395
119,292739.4076227144,5630662.6244028285
120,294057.51715200604,5629631.272113015
121,293961.0411886171,5629603.242956162
122,294254.99566916033,5629390.981269619
123,294010.2736869359,5629518.344056484
124,294069.62320541916,5629567.883862728
125,294007.46253169415,5629584.705216447
126,294257.48979287845,5629316.50488331
127,294416.94399123813,5629636.224543738
128,294440.3795215898,5629684.513629189
129,294604.0142924039,5630584.953655321
130,294601.986179563,5630597.949551114
131,294910.33810558706,5629126.418413931
132,294887.6644366573,5629106.378569586
133,294862.2293633459,5629082.5505358195
134,294905.6933815067,5629132.168429825
135,294881.2575514386,5629112.197988553
136,294856.3465248314,5629089.128752135
137,294896.96438820206,5629139.972085337
138,294858.8724010878,5629047.498266893
139,294900.9165943458,5629086.149075146
140,294890.7580864446,5629050.473833531
141,294940.2235919034,5629094.733942016
142,294872.40438431327,5629478.977225089
143,294950.05625187664,5629480.818965087
144,295211.0052516764,5628883.999560073
145,295217.80813435314,5628895.423140369
146,295104.7911508579,5629182.900252215
147,295146.6567067512,5629147.071520252
148,295162.8264312501,5629168.704261388
149,295271.14293739194,5629212.435022423
150,295147.12915261864,5629230.89410531
151,295231.53558502137,5628923.164617132
152,295011.54042160517,5628928.253036957
153,294942.73677832296,5628921.830542602
154,295335.2103087611,5630104.444730328
155,294891.0145224056,5629937.201557657
156,294893.96683770884,5629969.15218076
157,295430.2335205814,5629831.81881385
158,295415.3850224309,5629858.1221932275
159,295430.9791201359,5629574.031483496
160,295041.08655526885,5630034.285974327
161,294809.4339881699,5629670.629832981
162,295312.98024317645,5630161.991902141
163,295319.0231673096,5630471.955610508
164,295442.7268278534,5630595.472850913
165,294842.5162706543,5630401.075913255
166,294854.9307683065,5630386.557543731
167,294911.97352344176,5630816.991483007
168,294919.9967989544,5630820.015763243
169,295727.8897815662,5631003.036899746
170,295121.73849259585,5630193.339447019
171,295584.4756275158,5630858.798565965
172,295607.9832687828,5630983.024770046
173,295890.0122877876,5630324.951352691
174,295576.0345551496,5629724.995268906
175,295581.96944963,5629708.951722916
176,295569.8322982865,5629351.128445567
177,295440.9947739259,5629590.005488206
178,295507.8535662922,5629868.965309411
179,295520.028476459,5629868.041928871
180,295664.3086292747,5629407.546378778
181,295788.9809825165,5629523.018033154
182,295799.33742527734,5629511.700503475
183,295981.017564773,5629595.992918198
184,295929.7929579132,5630353.120600658
185,295997.01776409603,5629553.947100403
186,296227.03243522946,5629858.0357874455
187,296241.85334719653,5629850.775451984
188,296633.42311444785,5630276.604154134
189,296735.0207915725,5630367.945341094
190,296192.0000592881,5630677.990285654
191,296193.9928703266,5630663.994567389
192,296909.0226117682,5630603.9903467875
193,296990.2552843762,5630672.860009064
194,296929.9765520466,5630668.975468654
195,296958.4309527774,5630604.178958936
196,297354.9821312621,5630354.026099919
197,297303.97469752154,5630446.976180363
198,297136.09421327023,5629372.845241244
199,297138.5167434151,5629340.796281517
200,296981.0529140824,5630726.439634848
201,296981.0529140824,5630726.439634848
202,296981.0529140824,5630726.439634848
203,296981.0529140824,5630726.439634848
204,296981.0529140824,5630726.439634848
205,296981.0529140824,5630726.439634848
206,296135.98321801785,5631293.0089085745
207,296125.97967051086,5631261.000150963
208,296192.01647681306,5631066.015735943
209,296195.0276008858,5631087.052806495
210,295966.9955975198,5631388.814383972
211,296090.18293497374,5631503.68033219
212,295931.1796096446,5631472.388873914
213,295987.03657434264,5631491.465829655
214,296484.8587187995,5631015.1452824455
215,296444.22741338477,5630986.671525039
216,294725.47918560513,5628498.26280865
217,294897.95433765615,5628408.297607031
218,294910.9679312903,5628381.95381096
219,295196.03002182464,5628776.029093969
220,295202.9958853724,5628788.002970504
221,295232.02093412646,5628772.053564193
222,295254.31098518486,5628620.642388099
223,295220.0523900082,5628525.009319991
224,295094.994652856,5628274.950896877
225,295195.984047079,5628253.945332441
226,296400.96918071155,5628333.98846875
227,296069.3294670379,5628735.983968667
228,296043.02828930155,5628716.972025076
229,296008.968262823,5628754.046086617
230,296071.2170753478,5628758.957768534
231,295637.85927858076,5628758.457227477
232,295636.5431607502,5628744.702435111
233,296420.5527973258,5628936.357268739
234,296437.12784605473,5628925.132208349
235,296419.9530438724,5628897.522689567
236,296418.28444475087,5628807.847041106
237,296248.17417313566,5629223.787450922
238,296275.34490060713,5629156.81075565
239,297303.5894296386,5629189.294509897
240,297296.4183035097,5629170.089067151
241,296916.4251704399,5628856.880264323
242,296929.88515685615,5628861.699942947
243,297691.98682333285,5628674.951167847
244,297543.38946325134,5629009.508609523
245,297547.99660645693,5629033.601577334
246,297723.0328444616,5628899.987006928
247,297776.9866637582,5628915.038702178
248,297005.0140648349,5628910.990688909
249,296926.17261697835,5628900.479738378
250,296674.7508172432,5628628.371478274
251,296685.41470924974,5628632.074946136
252,296496.00251139794,5628484.037783571
253,296759.3550089129,5628238.051229046
254,296489.9734543942,5628448.97821939
255,296483.01104311587,5628427.984057268
256,296654.9792757415,5628299.018223352
257,296426.9984660668,5628327.961163848
258,296935.9377792201,5628332.263901829
259,296967.2979802269,5628347.074870292
260,298086.3818909291,5628938.221496437
261,298059.0609509102,5628921.800254991
262,298322.2440870723,5628903.811761421
263,298429.03108055564,5628897.786260835
264,297656.97484281566,5628625.985430727
265,297553.2659135967,5628478.815163897
266,298689.0101301578,5629101.948165213
267,298722.9994564037,5629143.054557199
268,297721.0156917444,5629846.004250525
269,297762.06555332895,5629841.626626321
270,297980.0348171507,5629922.01598554
271,298061.9697517584,5629909.040592105
272,298032.99956813373,5629890.011587169
273,298015.01915617357,5629864.9895605305
274,298349.11756736634,5629982.643454748
275,298339.3187845822,5629951.959393546
276,298060.24888495856,5629420.4407646945
277,298035.5415318228,5629456.804446787
278,298051.98002488946,5629442.027064068
279,298203.0312097145,5629972.046411579
280,298227.24010719976,5629964.762129951
281,297318.0566458553,5628483.28288743
282,297334.0727233012,5628475.756851424
